"Vuosi","Kantohinnat"
"1995",40.53
"1996",40.2491666666667
"1997",43.6808333333333
"1998",45.0533333333333
"1999",45.0458333333333
"2000",45.5675
"2001",45.8108333333333
"2002",45.855
"2003",44.0008333333333
"2004",40.275
"2005",41.7675
"2006",42.9458333333333
"2007",47.4675
"2008",49.1383333333333
"2009",37.4966666666667
"2010",38.6933333333333
"2011",41.9741666666667
"2012",41.3908333333333
"2013",41.3933333333333
"2014",41.8025
"2015",41.9416666666667
"2016",41.4675
"2017",42.5033333333333
"2018",45.6041666666667
"2019",43.8166666666667
"2020",43.2775
