"Vuosi","Kantohinnat"
"1995",32.7775
"1996",33.1158333333333
"1997",36.3683333333333
"1998",37.6741666666667
"1999",39.605
"2000",43.8908333333333
"2001",42.9891666666667
"2002",43.795
"2003",44.4891666666667
"2004",44.8508333333333
"2005",46.51
"2006",49.6516666666667
"2007",65.5966666666667
"2008",57.2725
"2009",44.8225
"2010",53.7283333333333
"2011",55.8225
"2012",53.7083333333333
"2013",56.2516666666667
"2014",55.735
"2015",54.3883333333333
"2016",55.1675
"2017",57.6191666666667
"2018",63.9
"2019",59.615
"2020",58.6666666666667
